"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"BPCL","2018-03-06","506","506","486","494","-0.60","4489"
"BPCL","2018-03-07","503","513","493","500","1.21","5610"
"BPCL","2018-03-11","500","501","485","485","-3.00","3050"
"BPCL","2018-03-12","485","494","481","481","-0.82","4562"
"BPCL","2018-03-13","480","490","476","490","1.87","400"
"BPCL","2018-03-14","499","508","487","489","-0.20","1540"
"BPCL","2018-03-15","498","498","489","490","0.20","180"
"BPCL","2018-03-18","490","490","483","484","-1.43","7580"
"BPCL","2018-03-19","488","488","480","483","0.00","2706"
"BPCL","2018-03-20","492","490","471","484","0.21","8048"
"BPCL","2018-03-21","491","491","470","482","-0.41","2271"
"BPCL","2018-03-22","491","497","464","464","-3.73","9957"
"BPCL","2018-03-26","455","464","420","436","-6.03","8421"
"BPCL","2018-03-27","428","468","421","468","7.34","5142"
"BPCL","2018-03-28","460","477","442","457","-2.35","5670"
"BPCL","2018-03-29","466","475","452","470","2.84","6908"
"BPCL","2018-04-01","461","467","445","459","-2.34","8314"
"BPCL","2018-04-02","455","462","450","453","-1.74","11334"
"BPCL","2018-04-03","460","469","451","469","3.99","3028"
"BPCL","2018-04-04","478","483","469","473","0.43","2382"
"BPCL","2018-04-05","480","500","480","488","3.61","21594"
"BPCL","2018-04-08","497","515","482","502","2.46","12817"
"BPCL","2018-04-09","510","510","462","470","-6.00","51497"
"BPCL","2018-04-10","475","475","445","461","-1.91","29800"
"BPCL","2018-04-11","455","465","453","462","0.22","10222"
"BPCL","2018-04-12","462","463","455","456","-1.30","8222"
"BPCL","2018-04-15","456","465","447","455","-0.22","4418"
"BPCL","2018-04-16","464","473","455","460","1.10","8321"
"BPCL","2018-04-17","460","483","463","469","1.96","10023"
"BPCL","2018-04-18","478","502","460","476","1.49","15163"
"BPCL","2018-04-19","485","490","473","485","1.89","8075"
"BPCL","2018-04-22","485","515","485","515","6.19","25320"
"BPCL","2018-04-23","524","524","488","492","-3.88","19712"
"BPCL","2018-04-24","500","498","486","487","-1.62","7482"
"BPCL","2018-04-25","486","490","485","486","-0.41","3009"
"BPCL","2018-04-26","492","492","467","480","-1.03","7128"
"BPCL","2018-04-29","472","491","471","491","2.29","3581"
"BPCL","2018-05-02","491","510","480","510","3.87","11939"
"BPCL","2018-05-03","520","520","501","506","-1.18","21390"
"BPCL","2018-05-06","495","500","487","492","-2.38","38378"
"BPCL","2018-05-07","501","510","490","504","2.44","129999"
"BPCL","2018-05-08","507","507","500","504","0.00","26013"
"BPCL","2018-05-09","504","504","501","502","-0.40","32277"
"BPCL","2018-05-10","502","500","484","485","-3.39","27610"
"BPCL","2018-05-14","485","490","479","481","-0.82","24752"
"BPCL","2018-05-15","483","488","478","479","-0.42","7094"
"BPCL","2018-05-16","471","483","471","483","0.84","3820"
"BPCL","2018-05-17","486","486","479","479","-0.83","5276"
"BPCL","2018-05-20","480","484","474","474","-1.04","5333"
"BPCL","2018-05-21","476","480","471","479","1.05","3500"
"BPCL","2018-05-22","472","481","472","480","0.21","12205"
"BPCL","2018-05-23","478","479","474","475","-1.04","6821"
"BPCL","2018-05-24","475","480","471","471","-0.84","3654"
"BPCL","2018-05-27","470","471","464","467","-0.85","6111"
"BPCL","2018-05-28","467","480","460","470","0.64","12320"
"BPCL","2018-05-29","472","478","465","465","-1.06","7584"
"BPCL","2018-05-30","465","475","462","468","0.65","9060"
"BPCL","2018-05-31","461","470","461","465","-0.64","3159"
"BPCL","2018-06-03","460","465","452","453","-2.58","7670"
"BPCL","2018-06-04","451","459","447","452","-0.22","5264"
"BPCL","2018-06-06","453","462","453","459","1.55","1235"
"BPCL","2018-06-07","459","459","446","450","-1.96","7944"
"BPCL","2018-06-10","445","446","441","445","-0.89","8434"
"BPCL","2018-06-11","438","454","435","443","-0.67","7901"
"BPCL","2018-06-12","444","446","440","443","0.00","5407"
"BPCL","2018-06-13","449","449","441","441","-0.45","3650"
"BPCL","2018-06-14","444","456","440","450","2.04","6961"
"BPCL","2018-06-17","450","453","440","441","-2.00","5990"
"BPCL","2018-06-18","434","444","434","442","0.23","1450"
"BPCL","2018-06-19","435","450","435","443","0.23","3815"
